Transaction_ID,Service_Date,Client_ID,Dog_ID,Service_ID,Campaign_ID,Revenue,Estimated_Cost,Gross_Profit,Discount_Rate,Trainer_Hours,Travel_Miles,Satisfaction_Rating,Training_Outcome,Payment_Status,Follow_Up_Required
T00001,2025-07-20,C0001,D0001,S012,M004,60.0,18.9,41.1,0.0,1.12,3.5,5,Excellent Progress,Paid,Yes
T00002,2026-05-17,C0001,D0001,S013,M004,125.0,41.63,83.37,0.0,12.25,8.0,5,Excellent Progress,Paid,No
T00003,2026-04-17,C0001,D0001,S007,M004,40.5,18.7,21.8,0.1,0.65,2.4,5,Moderate Progress,Paid,Yes
T00004,2025-10-31,C0001,D0001,S004,M004,27.0,12.74,14.26,0.1,0.68,7.8,5,Moderate Progress,Paid,No
T00005,2026-05-06,C0001,D0001,S004,M004,30.0,12.59,17.41,0.0,0.81,1.7,5,Moderate Progress,Paid,No
T00006,2025-05-21,C0002,D0002,S007,M008,40.5,13.63,26.87,0.1,0.59,17.1,5,Excellent Progress,Paid,No
T00007,2026-05-10,C0002,D0002,S005,M008,42.75,17.29,25.46,0.05,0.9,16.8,5,Completed Goals,Pending,No
T00008,2025-04-16,C0002,D0002,S013,M008,125.0,44.54,80.46,0.0,12.06,21.2,5,Moderate Progress,Paid,No
T00009,2025-11-21,C0002,D0002,S004,M008,30.0,14.92,15.08,0.0,0.74,18.5,5,Moderate Progress,Paid,No
T00010,2025-07-05,C0002,D0002,S011,M008,28.5,12.03,16.47,0.05,0.55,17.2,5,Completed Goals,Paid,Yes
T00011,2026-01-24,C0003,D0003,S006,M008,60.0,16.98,43.02,0.0,1.16,2.0,5,Completed Goals,Paid,No
T00012,2026-05-28,C0003,D0003,S007,M008,45.0,16.85,28.15,0.0,0.57,1.0,5,Completed Goals,Paid,No
T00013,2026-02-27,C0003,D0003,S004,M008,30.0,11.18,18.82,0.0,0.9,3.0,5,Excellent Progress,Paid,No
T00014,2026-05-17,C0003,D0003,S006,M008,60.0,16.79,43.21,0.0,1.34,7.2,5,Completed Goals,Paid,Yes
T00015,2026-02-23,C0003,D0003,S001,M008,125.0,41.29,83.71,0.0,1.21,1.0,5,Completed Goals,Pending,No
T00016,2026-03-21,C0003,D0003,S008,M008,80.75,22.02,58.73,0.05,1.13,1.0,5,Excellent Progress,Paid,Yes
T00017,2026-04-16,C0003,D0003,S001,M008,125.0,40.36,84.64,0.0,1.39,5.2,5,Excellent Progress,Paid,No
T00018,2026-05-20,C0003,D0003,S005,M008,40.5,18.95,21.55,0.1,0.94,1.0,5,Needs Follow-Up,Paid,Yes
T00019,2026-01-27,C0004,D0004,S007,,45.0,13.09,31.91,0.0,0.62,11.0,5,Moderate Progress,Paid,No
T00020,2025-03-13,C0004,D0004,S003,,607.5,180.24,427.26,0.1,1.26,9.6,5,Completed Goals,Paid,No
T00021,2025-08-14,C0004,D0004,S003,,675.0,183.53,491.47,0.0,1.15,10.5,5,Moderate Progress,Pending,No
T00022,2025-09-03,C0004,D0005,S011,M005,30.0,10.65,19.35,0.0,0.69,6.2,5,Excellent Progress,Paid,Yes
T00023,2025-12-22,C0004,D0005,S001,,112.5,37.23,75.27,0.1,1.2,5.2,5,Excellent Progress,Paid,Yes
T00024,2026-04-26,C0005,D0006,S004,,28.5,11.94,16.56,0.05,0.89,8.4,5,Completed Goals,Paid,No
T00025,2026-05-24,C0005,D0006,S008,,76.5,27.07,49.43,0.1,1.12,6.1,5,Excellent Progress,Paid,No
T00026,2026-04-11,C0005,D0006,S011,,28.5,13.35,15.15,0.05,0.66,11.2,5,Completed Goals,Paid,Yes
T00027,2026-04-25,C0005,D0006,S013,,118.75,44.41,74.34,0.05,12.24,10.2,5,Excellent Progress,Paid,No
T00028,2026-04-01,C0005,D0006,S004,,27.0,14.87,12.13,0.1,0.71,10.7,5,Moderate Progress,Paid,No
T00029,2026-02-23,C0005,D0006,S007,,45.0,18.54,26.46,0.0,0.75,7.3,5,Completed Goals,Paid,No
T00030,2026-04-19,C0005,D0006,S006,,60.0,19.42,40.58,0.0,1.3,9.9,5,Excellent Progress,Paid,No
T00031,2026-04-05,C0005,D0006,S001,,125.0,41.42,83.58,0.0,1.24,9.1,5,Completed Goals,Paid,No
T00032,2026-01-26,C0005,D0006,S001,,125.0,40.9,84.1,0.0,1.13,9.6,5,Completed Goals,Paid,Yes
T00033,2026-04-21,C0005,D0006,S008,,76.5,25.73,50.77,0.1,1.19,4.1,5,Excellent Progress,Paid,No
T00034,2026-04-25,C0005,D0006,S006,,54.0,16.67,37.33,0.1,1.1,5.5,5,Excellent Progress,Paid,Yes
T00035,2026-05-28,C0005,D0006,S001,,118.75,38.96,79.79,0.05,1.4,5.8,5,Moderate Progress,Paid,Yes
T00036,2026-02-24,C0006,D0007,S005,,45.0,12.58,32.42,0.0,1.1,19.7,5,Completed Goals,Paid,No
T00037,2026-04-12,C0006,D0008,S003,,675.0,180.33,494.67,0.0,1.08,21.9,5,Moderate Progress,Paid,Yes
T00038,2025-12-04,C0006,D0007,S013,,125.0,42.11,82.89,0.0,12.31,20.2,5,Excellent Progress,Paid,No
T00039,2026-01-11,C0006,D0008,S007,,42.75,12.98,29.77,0.05,0.9,20.3,5,Excellent Progress,Paid,No
T00040,2026-05-23,C0007,D0011,S004,M008,28.5,10.28,18.22,0.05,0.77,20.8,5,Excellent Progress,Pending,Yes
T00041,2026-05-08,C0007,D0011,S005,M008,40.5,16.33,24.17,0.1,1.08,20.2,5,Completed Goals,Paid,Yes
T00042,2025-09-05,C0007,D0009,S004,M008,30.0,11.11,18.89,0.0,0.82,15.3,5,Completed Goals,Pending,Yes
T00043,2025-08-27,C0007,D0010,S001,M008,112.5,35.65,76.85,0.1,1.26,17.1,5,Excellent Progress,Paid,Yes
T00044,2026-04-25,C0007,D0009,S010,M008,18.0,9.8,8.2,0.1,0.44,16.7,5,Completed Goals,Paid,Yes
T00045,2025-12-13,C0007,D0010,S004,M008,30.0,14.61,15.39,0.0,0.8,18.5,5,Excellent Progress,Paid,No
T00046,2026-01-31,C0007,D0010,S001,M008,112.5,37.66,74.84,0.1,1.35,18.0,5,Excellent Progress,Pending,Yes
T00047,2026-05-17,C0007,D0011,S004,M008,30.0,9.24,20.76,0.0,0.69,17.1,5,Excellent Progress,Pending,No
T00048,2026-04-06,C0008,D0012,S004,M008,30.0,9.4,20.6,0.0,0.9,22.8,5,Moderate Progress,Paid,Yes
T00049,2026-01-13,C0008,D0012,S011,M008,27.0,9.12,17.88,0.1,0.64,22.6,5,Excellent Progress,Pending,Yes
T00050,2026-05-12,C0008,D0012,S007,M008,40.5,18.78,21.72,0.1,0.8,27.8,5,Excellent Progress,Paid,No
T00051,2026-03-26,C0009,D0013,S007,M008,45.0,15.01,29.99,0.0,0.55,6.0,5,Excellent Progress,Pending,No
T00052,2025-11-16,C0009,D0013,S005,M008,40.5,13.06,27.44,0.1,1.15,7.8,5,Completed Goals,Paid,No
T00053,2026-05-08,C0009,D0013,S011,M008,30.0,10.19,19.81,0.0,0.62,7.8,5,Excellent Progress,Paid,No
T00054,2025-05-22,C0009,D0013,S001,M008,125.0,40.94,84.06,0.0,1.28,9.4,5,Completed Goals,Paid,No
T00055,2025-07-20,C0009,D0013,S002,M008,320.62,92.98,227.64,0.1,1.21,10.3,5,Excellent Progress,Paid,No
T00056,2025-10-10,C0010,D0014,S008,,76.5,22.03,54.47,0.1,1.13,23.6,5,Excellent Progress,Pending,No
T00057,2025-11-09,C0011,D0015,S007,M008,45.0,13.84,31.16,0.0,0.85,25.7,5,Excellent Progress,Pending,No
T00058,2025-12-26,C0011,D0015,S004,M008,30.0,12.13,17.87,0.0,0.79,24.0,5,Completed Goals,Paid,Yes
T00059,2025-07-15,C0011,D0015,S005,M008,42.75,16.45,26.3,0.05,1.04,26.7,5,Needs Follow-Up,Paid,No
T00060,2025-12-22,C0011,D0015,S002,M008,356.25,96.66,259.59,0.0,1.22,23.1,5,Excellent Progress,Paid,No
